network_name,layer_name_1,layer_name_2,N,N_1,N_2,E_1,E_2,<k>,<k_1>,<k_2>,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,UDS_RSU,UDS_CLAPG,UDS_ILP,clap_average_length,time_CLAPS,time_RSU,time_CLAPG,time_ILP,mem_CLAPS,mem_RSU,mem_CLAPG,mem_ILP
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6605,-1,-1,6466,-1,-1,-1,-1,0.1371157169342041,-1,-1,-1,206815232,-1
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3149,-1,-1,3115,-1,-1,-1,-1,0.03610634803771973,-1,-1,-1,159870976,-1
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7382,-1,-1,7027,-1,-1,-1,-1,0.43416690826416016,-1,-1,-1,494104576,-1
HumanHIV1,direct_interaction,physical_association,994,380,758,434,869,2.6217303822937628,2.2842105263157895,2.29287598944591,977,976,977,976,986,-1,-1,980,-1,-1,-1,-1,0.02587151527404785,-1,-1,-1,128040960,-1
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2364,-1,-1,2277,-1,-1,-1,-1,0.06400609016418457,-1,-1,-1,152702976,-1
Rattus,direct_interaction,physical_association,2593,1017,2035,1093,3014,3.1677593521018124,2.1494591937069814,2.962162162162162,2189,2081,2189,2081,2444,-1,-1,2388,-1,-1,-1,-1,0.04432797431945801,-1,-1,-1,145420288,-1
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,64,-1,-1,57,-1,-1,-1,-1,0.027246475219726562,-1,-1,-1,121204736,-1
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3650,-1,-1,2757,-1,-1,-1,-1,6.153252840042114,-1,-1,-1,3943395328,-1
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421135,-1,-1,419306,-1,-1,-1,-1,181.29072332382202,-1,-1,-1,4829704192,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321959,-1,-1,321728,-1,-1,-1,-1,10.042601108551025,-1,-1,-1,2995896320,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86383,-1,-1,86165,-1,-1,-1,-1,3.5005550384521484,-1,-1,-1,1121861632,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99453,-1,-1,99170,-1,-1,-1,-1,3.9492852687835693,-1,-1,-1,1348915200,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741851,-1,-1,741142,-1,-1,-1,-1,95.31432366371155,-1,-1,-1,8685953024,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53839,-1,-1,53509,-1,-1,-1,-1,2.0150318145751953,-1,-1,-1,1037783040,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672122,-1,-1,671460,-1,-1,-1,-1,79.48629140853882,-1,-1,-1,6620532736,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357150,-1,-1,356777,-1,-1,-1,-1,19.188711881637573,-1,-1,-1,4100784128,-1
KrackhardtHighTech,friendship,advice,21,21,21,102,190,27.80952380952381,9.714285714285714,18.095238095238095,2,0,2,0,2,-1,-1,2,-1,-1,-1,-1,0.024712800979614258,-1,-1,-1,118345728,-1
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,16,-1,-1,16,-1,-1,-1,-1,0.0252835750579834,-1,-1,-1,117202944,-1
LazegaLawFirm,friendship,advice,71,69,71,575,892,41.32394366197183,16.666666666666668,25.12676056338028,6,1,6,1,6,-1,-1,6,-1,-1,-1,-1,0.02518439292907715,-1,-1,-1,118173696,-1
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,-1,-1,6,-1,-1,-1,-1,0.025229454040527344,-1,-1,-1,118779904,-1
PhysiciansInnovation,friendship,advice,238,228,215,506,480,8.285714285714286,4.43859649122807,4.465116279069767,62,101,62,101,122,-1,-1,120,-1,-1,-1,-1,0.025168180465698242,-1,-1,-1,119214080,-1
PhysiciansInnovation,friendship,discussion,241,228,231,506,565,8.887966804979254,4.43859649122807,4.891774891774892,65,68,65,68,103,-1,-1,99,-1,-1,-1,-1,0.02532029151916504,-1,-1,-1,118693888,-1
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6593,-1,-1,-1,6453,-1,-1,-1,-1,5.358790397644043,-1,-1,-1,442875904
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3144,-1,-1,-1,3114,-1,-1,-1,-1,1.0187911987304688,-1,-1,-1,257101824
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7378,-1,-1,-1,7000,-1,-1,-1,-1,11.499712228775024,-1,-1,-1,746647552
HumanHIV1,direct_interaction,physical_association,994,380,758,434,869,2.6217303822937628,2.2842105263157895,2.29287598944591,977,976,977,976,986,-1,-1,-1,977,-1,-1,-1,-1,0.1820664405822754,-1,-1,-1,175968256
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2371,-1,-1,-1,2267,-1,-1,-1,-1,1.4364964962005615,-1,-1,-1,262385664
Rattus,direct_interaction,physical_association,2593,1017,2035,1093,3014,3.1677593521018124,2.1494591937069814,2.962162162162162,2189,2081,2189,2081,2446,-1,-1,-1,2381,-1,-1,-1,-1,0.6788887977600098,-1,-1,-1,229146624
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,61,-1,-1,-1,55,-1,-1,-1,-1,0.15908265113830566,-1,-1,-1,162287616
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3635,-1,-1,-1,2757,-1,-1,-1,-1,36.491026163101196,-1,-1,-1,4777947136
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KrackhardtHighTech,friendship,advice,21,21,21,102,190,27.80952380952381,9.714285714285714,18.095238095238095,2,0,2,0,2,-1,-1,-1,2,-1,-1,-1,-1,0.04814004898071289,-1,-1,-1,143351808
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,16,-1,-1,-1,16,-1,-1,-1,-1,0.04922366142272949,-1,-1,-1,142696448
LazegaLawFirm,friendship,advice,71,69,71,575,892,41.32394366197183,16.666666666666668,25.12676056338028,6,1,6,1,6,-1,-1,-1,6,-1,-1,-1,-1,0.07948184013366699,-1,-1,-1,151412736
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,-1,-1,-1,6,-1,-1,-1,-1,0.08092284202575684,-1,-1,-1,153051136
PhysiciansInnovation,friendship,advice,238,228,215,506,480,8.285714285714286,4.43859649122807,4.465116279069767,62,101,62,101,126,-1,-1,-1,120,-1,-1,-1,-1,0.08555960655212402,-1,-1,-1,154443776
PhysiciansInnovation,friendship,discussion,241,228,231,506,565,8.887966804979254,4.43859649122807,4.891774891774892,65,68,65,68,101,-1,-1,-1,99,-1,-1,-1,-1,0.0858302116394043,-1,-1,-1,153149440
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6596,6453,-1,-1,-1,1.167832167832168,0.23669075965881348,-1,-1,-1,211877888,-1,-1,-1
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3146,3114,-1,-1,-1,1.09375,0.03952670097351074,-1,-1,-1,156094464,-1,-1,-1
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7381,7000,-1,-1,-1,1.2178477690288714,1.5089285373687744,-1,-1,-1,404086784,-1,-1,-1
HumanHIV1,direct_interaction,physical_association,994,380,758,434,869,2.6217303822937628,2.2842105263157895,2.29287598944591,977,976,977,976,985,977,-1,-1,-1,1.875,0.03017568588256836,-1,-1,-1,129114112,-1,-1,-1
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2368,2267,-1,-1,-1,1.2178217821782178,0.25688791275024414,-1,-1,-1,153747456,-1,-1,-1
Rattus,direct_interaction,physical_association,2593,1017,2035,1093,3014,3.1677593521018124,2.1494591937069814,2.962162162162162,2189,2081,2189,2081,2447,2381,-1,-1,-1,1.0909090909090908,0.11235904693603516,-1,-1,-1,143093760,-1,-1,-1
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,63,55,-1,-1,-1,1.0,0.0320734977722168,-1,-1,-1,121184256,-1,-1,-1
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3663,2757,-1,-1,-1,1.0242825607064017,3.3576736450195312,-1,-1,-1,3943596032,-1,-1,-1
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421104,419243,-1,-1,-1,1.0381515314347125,1140.4608752727509,-1,-1,-1,4815966208,-1,-1,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321978,321726,-1,-1,-1,1.0277777777777777,176.99847531318665,-1,-1,-1,2988273664,-1,-1,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86374,86162,-1,-1,-1,1.0471698113207548,26.445250272750854,-1,-1,-1,1124642816,-1,-1,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99438,99154,-1,-1,-1,1.0669014084507042,36.91562819480896,-1,-1,-1,1351057408,-1,-1,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741826,741128,-1,-1,-1,1.0200573065902578,1227.582350730896,-1,-1,-1,8643944448,-1,-1,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53841,53491,-1,-1,-1,1.042857142857143,8.802939414978027,-1,-1,-1,995983360,-1,-1,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672139,671441,-1,-1,-1,1.027220630372493,805.3504431247711,-1,-1,-1,6534680576,-1,-1,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357116,356772,-1,-1,-1,1.0290697674418605,241.7002308368683,-1,-1,-1,4093685760,-1,-1,-1
KrackhardtHighTech,friendship,advice,21,21,21,102,190,27.80952380952381,9.714285714285714,18.095238095238095,2,0,2,0,2,2,-1,-1,-1,0,0.025041818618774414,-1,-1,-1,118018048,-1,-1,-1
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,16,16,-1,-1,-1,0,0.025153636932373047,-1,-1,-1,118272000,-1,-1,-1
LazegaLawFirm,friendship,advice,71,69,71,575,892,41.32394366197183,16.666666666666668,25.12676056338028,6,1,6,1,6,6,-1,-1,-1,0,0.025059223175048828,-1,-1,-1,118972416,-1,-1,-1
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,6,-1,-1,-1,1.0,0.02527451515197754,-1,-1,-1,118996992,-1,-1,-1
PhysiciansInnovation,friendship,advice,238,228,215,506,480,8.285714285714286,4.43859649122807,4.465116279069767,62,101,62,101,127,120,-1,-1,-1,1.0,0.025788307189941406,-1,-1,-1,119590912,-1,-1,-1
PhysiciansInnovation,friendship,discussion,241,228,231,506,565,8.887966804979254,4.43859649122807,4.891774891774892,65,68,65,68,104,99,-1,-1,-1,1.0,0.025834083557128906,-1,-1,-1,119816192,-1,-1,-1
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6603,-1,6579,-1,-1,-1,-1,2.677971124649048,-1,-1,-1,224337920,-1,-1
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3146,-1,3136,-1,-1,-1,-1,0.9548687934875488,-1,-1,-1,161734656,-1,-1
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7373,-1,7341,-1,-1,-1,-1,4.012688875198364,-1,-1,-1,480083968,-1,-1
HumanHIV1,direct_interaction,physical_association,994,380,758,434,869,2.6217303822937628,2.2842105263157895,2.29287598944591,977,976,977,976,986,-1,983,-1,-1,-1,-1,0.20133447647094727,-1,-1,-1,130060288,-1,-1
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2369,-1,2347,-1,-1,-1,-1,1.0164461135864258,-1,-1,-1,172056576,-1,-1
Rattus,direct_interaction,physical_association,2593,1017,2035,1093,3014,3.1677593521018124,2.1494591937069814,2.962162162162162,2189,2081,2189,2081,2444,-1,2436,-1,-1,-1,-1,0.8100733757019043,-1,-1,-1,149917696,-1,-1
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,63,-1,58,-1,-1,-1,-1,0.18916535377502441,-1,-1,-1,121032704,-1,-1
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3650,-1,3609,-1,-1,-1,-1,3.142155408859253,-1,-1,-1,3943858176,-1,-1
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421121,-1,421042,-1,-1,-1,-1,258.14428901672363,-1,-1,-1,5806305280,-1,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321978,-1,321953,-1,-1,-1,-1,139.25905656814575,-1,-1,-1,3980693504,-1,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86370,-1,86354,-1,-1,-1,-1,34.117833375930786,-1,-1,-1,1361350656,-1,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99480,-1,99424,-1,-1,-1,-1,45.61752438545227,-1,-1,-1,1615261696,-1,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741816,-1,741814,-1,-1,-1,-1,420.64866185188293,-1,-1,-1,10536529920,-1,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53831,-1,53800,-1,-1,-1,-1,31.407397508621216,-1,-1,-1,1114890240,-1,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672138,-1,672066,-1,-1,-1,-1,365.8754253387451,-1,-1,-1,8466464768,-1,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357118,-1,357092,-1,-1,-1,-1,165.1314299106598,-1,-1,-1,5082521600,-1,-1
KrackhardtHighTech,friendship,advice,21,21,21,102,190,27.80952380952381,9.714285714285714,18.095238095238095,2,0,2,0,2,-1,2,-1,-1,-1,-1,0.11914396286010742,-1,-1,-1,117579776,-1,-1
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,17,-1,16,-1,-1,-1,-1,0.04318714141845703,-1,-1,-1,117571584,-1,-1
LazegaLawFirm,friendship,advice,71,69,71,575,892,41.32394366197183,16.666666666666668,25.12676056338028,6,1,6,1,6,-1,6,-1,-1,-1,-1,0.1403954029083252,-1,-1,-1,118325248,-1,-1
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,-1,6,-1,-1,-1,-1,0.13991546630859375,-1,-1,-1,117932032,-1,-1
PhysiciansInnovation,friendship,advice,238,228,215,506,480,8.285714285714286,4.43859649122807,4.465116279069767,62,101,62,101,124,-1,120,-1,-1,-1,-1,0.09758782386779785,-1,-1,-1,118919168,-1,-1
PhysiciansInnovation,friendship,discussion,241,228,231,506,565,8.887966804979254,4.43859649122807,4.891774891774892,65,68,65,68,104,-1,100,-1,-1,-1,-1,0.2597770690917969,-1,-1,-1,119492608,-1,-1